DAUID,POPDENSE
10080238,39.3
10080239,16.9
10080240,25.8
10080241,33.9
10080242,16
10080243,17
10080244,11.1
10080245,7.4
10080246,1.4
10080247,0.8
10080248,8.5
10080249,11
10080250,83.2
10080251,2.8
10080252,2.8
10080253,196.7
10080254,63.3
10080255,0.2
10080256,24.5
1009,1.2
10090078,1
10090079,15.9
10090080,62.9
10090081,0.5
10090082,64.8
10090083,5.1
10090084,373.7
10090085,46.4
10090086,401.7
10090087,37.5
10090088,34.9
10090089,2.3
10090090,1
10090091,35.4
10090092,7.4
10090093,130.2
10090094,0.3
10090095,96.3
10090096,19.1
10090097,6.4
10090098,0
10090099,45.8
10090100,6.8
10090101,9.9
10090102,536.1
10090103,62.2
10090104,10.2
10090105,0
10090106,18.4
10090107,8.5
10090108,61.7
10090109,38.6
10090110,5.5
10090111,18.3
10090112,0.1
10090113,24
10090114,27.3
10090115,7.2
10090116,30.9
10090117,44.5
10090118,0.1
10090119,93.3
10090120,136.5
10090121,4.4
10090122,71.1
10090123,99.9
10090124,96.8
10090125,34.1
1010,0.1
10100061,0
10100062,21.1
10100063,0
10100065,170.9
10100066,331.3
10100067,19.6
10100068,604.4
10100069,890.2
10100070,527.4
10100071,714.6
10100072,786.1
10100073,240.1
10100074,1074.3
10100075,2.1
10100076,156
10100077,102.9
10100078,220.4
10100079,652.5
10100080,459.4
10100081,233.1
10100082,0
10100083,167
10100084,1256.9
10100085,10
10100086,1796.1
10100087,17.7
10100088,2970
10100089,2373.4
10100090,2427.7
10100091,2889.6
10100092,2403.6
10100093,2591.5
10100094,121
10100095,431.4
10100096,2404.3
10100097,2237.2
10100098,2302.3
10100099,1019.5
10100100,1434.5
10100101,3006.4
10100102,0
10100103,8.9
10100104,21
10100105,9.5
10100106,130.7
10100107,12.7
10100108,0
10100109,55
10100110,160.5
10100111,14.3
10100112,20.1
10100113,106.8
10100114,3.5
10100115,87.7
10100116,0
1011,0
10110001,0
10110002,9.5
10110003,722.6
10110004,171
10110005,0
10110006,191
10110007,89.4
10110008,84.4
1101,10.2
11010040,5.3
11010041,4.1
11010042,6.6
11010043,631
11010044,238.8
11010045,38.8
11010046,15.5
11010047,4
11010048,4.6
11010049,4.1
11010050,6.8
11010051,52.5
11010052,6.8
11010053,7
11010054,8.6
11010055,21.2
11010056,15.1
11010057,667.2
11010058,593.5
11010059,435.9
11010060,831
11010061,13.6
11010062,10
11010063,6.9
11010064,8
11010065,7.9
11010066,11.9
11010067,37.4
11010068,18.8
11010069,348.1
11010070,207.3
11010071,11.2
11010072,11.6
11010073,66.3
11010074,6.6
11010075,7.4
11010076,28.1
11010077,203.2
11010078,5.6
11010079,5.7
11010080,55.4
11010081,2.6
11010082,6.5
11010083,5.3
1102,40.6
11020116,170.7
11020117,6.3
11020118,0
11020119,139.9
11020120,9
11020121,20.7
11020122,22.2
11020123,30.7
11020124,30.1
11020125,24.8
11020126,26.4
11020127,20.5
11020128,42.3
11020129,23.4
11020130,211.8
11020131,705.7
11020132,380.2
11020133,1163.1
11020134,174
11020135,626.3
11020136,1328.7
11020137,593.5
11020138,448
11020139,199.8
11020140,1509.3
11020141,1623
11020142,1846
11020143,1368.3
11020144,1681.9
11020145,1603.7
11020146,2238.3
11020147,2759
11020148,693.5
11020149,1722.3
11020150,1617.7
11020151,1596.1
11020152,4061.7
11020153,4807.7
11020154,3626
11020155,2960.7
11020156,4393.6
11020157,1133.5
11020158,5109
11020159,1728.5
11020160,4456
11020161,4036.5
11020162,3620.1
11020163,2931.6
11020164,3805.3
11020165,3619
11020166,2322.4
11020167,1491.6
11020168,2101.3
11020169,2101.2
11020170,4991.9
11020171,4009.4
11020172,2737.3
11020173,1626.1
11020174,1929.1
11020175,444.9
11020176,2124.4
11020177,370.4
11020178,1535.5
11020179,1226.1
11020180,876.3
11020181,1865.7
11020182,1414.4
11020183,1512.3
11020184,805.5
11020185,1040.9
11020186,243.5
11020187,161.8
11020188,1458.3
11020189,1547.6
11020190,53.3
11020191,369.8
11020192,106.5
11020193,38.2
11020194,35
11020195,1250
11020196,23.1
11020197,34.5
11020198,39.5
11020199,26.8
11020200,22.4
11020201,27.1
11020202,22.5
11020203,22.2
11020204,35
11020205,87.8
11020206,25.9
11020207,18.2
11020208,12.2
11020209,59.7
11020210,8.4
11020211,16
